# step, loss_train, loss_test, metrics_test
0.000000000000000000e+00 4.795177841186523438e+01 3.219808042049407959e-01 5.055878067016601562e+01 3.219808042049407959e-01 1.407757878303527832e+00
1.000000000000000000e+03 2.087031025439500809e-04 2.813436367432586849e-06 4.132530011702328920e-04 2.813436367432586849e-06 2.859224099665880203e-03
2.000000000000000000e+03 9.102214244194328785e-05 4.332939170126337558e-06 1.855772716226056218e-04 4.332939170126337558e-06 1.354967011138796806e-03
3.000000000000000000e+03 2.801212831400334835e-04 2.599824620119761676e-05 2.213627158198505640e-04 2.599824620119761676e-05 5.253098905086517334e-03
4.000000000000000000e+03 3.899601288139820099e-04 2.121504803653806448e-05 3.707115829456597567e-04 2.121504803653806448e-05 3.959696739912033081e-03
5.000000000000000000e+03 4.740805889014154673e-04 9.323032281827181578e-05 3.669500583782792091e-04 9.323032281827181578e-05 9.935233741998672485e-03
6.000000000000000000e+03 8.970138878794386983e-05 1.288796011067461222e-05 6.112299888627603650e-05 1.288796011067461222e-05 3.322227625176310539e-03
7.000000000000000000e+03 9.102658805204555392e-05 3.066381623284542002e-06 1.301072479691356421e-04 3.066381623284542002e-06 2.086754189804196358e-03
8.000000000000000000e+03 7.465431699529290199e-04 9.429525380255654454e-05 6.464429898187518120e-04 9.429525380255654454e-05 1.061860285699367523e-02
9.000000000000000000e+03 2.109595108777284622e-03 3.381036804057657719e-04 1.326920348219573498e-03 3.381036804057657719e-04 1.732434146106243134e-02
1.000000000000000000e+04 3.139035543426871300e-04 1.213436917169019580e-05 3.548841923475265503e-04 1.213436917169019580e-05 4.839662462472915649e-03
